Property Type,Listing Status,Building Size(sq. m),Year Built,Bedrooms,Bathrooms,Num Floors,City,State,ZIP Code,USD Price
House,Active,114.46,2001.0,2.0,2.0,0.0,Park Rapids,North Dakota,56470.0,"199,900"
House,Active,247.49,1968.0,4.0,3.0,0.0,Park Rapids,North Dakota,56470.0,"316,000"
House,Active,184.32,1914.0,4.0,2.0,0.0,Warroad,North Dakota,56763.0,"350,000"
House,Active,172.61,1961.0,4.0,3.0,0.0,Chamberlain,North Dakota,57235.0,"289,000"
House,Pending,153.85,1969.0,4.0,2.0,0.0,Miles City,North Dakota,59301.0,"1,650,000"
House,Active,190.64,2020.0,3.0,2.0,0.0,Lake George,North Dakota,56458.0,"399,900"
House,Active,236.35,1997.0,3.0,2.0,0.0,Sturgis,North Dakota,57785.0,"799,000"
House,Active,105.91,2004.0,3.0,1.0,0.0,Farwell,North Dakota,56327.0,"385,000"
House,Active,171.68,2023.0,3.0,2.0,0.0,Menahga,North Dakota,56464.0,"494,900"
House,Active,133.78,1951.0,2.0,2.0,0.0,Miltona,North Dakota,56354.0,"599,000"
House,Active,195.1,1900.0,4.0,1.0,0.0,Parkers Prairie,North Dakota,56361.0,"389,000"
House,Active,247.03,2024.0,4.0,3.0,2.0,Spearfish,North Dakota,57783.0,"859,000"
House,Active,208.1,1992.0,3.0,2.0,0.0,Park Rapids,North Dakota,56470.0,"320,000"
House,Active,494.8,1994.0,7.0,7.0,0.0,Garfield,North Dakota,56332.0,"859,000"
House,Active,188.31,2023.0,4.0,2.0,0.0,Spearfish,North Dakota,57783.0,"667,500"
House,Active,,,5.0,2.0,0.0,New Underwood,North Dakota,57701.0,"344,900"
House,Active,333.06,2024.0,4.0,3.0,0.0,Spearfish,North Dakota,57783.0,"1,050,000"
House,Active,329.62,2024.0,5.0,3.0,0.0,Spearfish,North Dakota,57783.0,"899,000"
House,Active,,,,,0.0,Spearfish,North Dakota,57783.0,"980,000"
House,Active,165.37,2024.0,3.0,2.0,0.0,Spearfish,North Dakota,57783.0,"779,000"
House,Active,308.81,2024.0,6.0,3.0,0.0,Spearfish,North Dakota,57783.0,"879,000"
House,Active,357.12,2024.0,4.0,4.0,0.0,Spearfish,North Dakota,57783.0,"1,100,000"
House,Pending,241.55,1907.0,5.0,2.0,0.0,Farwell,North Dakota,56327.0,"79,900"
House,Active,386.01,1989.0,5.0,4.0,0.0,Bemidji,North Dakota,56601.0,"1,149,900"
House,Active,273.51,1991.0,5.0,4.0,0.0,Miltona,North Dakota,56354.0,"749,900"
House,Pending,162.21,1960.0,3.0,2.0,0.0,Miltona,North Dakota,56354.0,"519,000"
House,Pending,245.91,1999.0,5.0,3.0,0.0,Alexandria,North Dakota,56308.0,"419,000"
House,Pending,245.26,2003.0,3.0,2.0,0.0,Park Rapids,North Dakota,56470.0,"569,800"
House,Active,234.67,1900.0,3.0,2.0,0.0,Appleton,North Dakota,56208.0,"395,000"
House,Active,61.32,1988.0,2.0,1.0,0.0,Alexandria,North Dakota,56308.0,"299,900"
House,Active,235.42,1991.0,4.0,4.0,0.0,Menahga,North Dakota,56464.0,"575,000"
Townhouse,Active,150.97,2023.0,3.0,2.0,0.0,Piedmont,North Dakota,57769.0,"459,900"
House,Pending,83.24,1989.0,2.0,1.0,0.0,Parkers Prairie,North Dakota,56361.0,"298,900"
House,Active,202.62,2004.0,4.0,3.0,0.0,Park Rapids,North Dakota,56470.0,"589,900"
House,Active,156.08,2022.0,3.0,2.0,1.0,Chamberlain,North Dakota,57325.0,"330,000"
House,Active,133.78,2021.0,2.0,2.0,0.0,Piedmont,North Dakota,57769.0,"650,000"
House,Active,247.21,1974.0,3.0,2.0,0.0,Miltona,North Dakota,56354.0,"615,000"
House,Active,265.7,2023.0,5.0,3.0,0.0,Alexandria,North Dakota,56308.0,"799,000"
House,Active,31.4,2015.0,2.0,1.0,0.0,Alexandria,North Dakota,56308.0,"75,000"
House,Active,310.3,2019.0,3.0,3.0,0.0,Hewitt,North Dakota,56453.0,"575,000"
House,Active,72.93,2015.0,3.0,1.0,0.0,Alexandria,North Dakota,56308.0,"134,900"
House,Active,53.51,2011.0,1.0,1.0,0.0,Alexandria,North Dakota,56308.0,"119,900"
Townhouse,Active,157.94,2023.0,2.0,2.0,0.0,Sturgis,North Dakota,57785.0,"699,000"
House,Active,279.64,2024.0,4.0,3.0,0.0,Sturgis,North Dakota,57785.0,"990,000"
House,Active,241.18,2007.0,3.0,2.0,0.0,Aladdin,North Dakota,82710.0,"599,000"
House,Active,389.08,2003.0,5.0,4.0,1.5,Sturgis,North Dakota,57785.0,"1,100,000"
Townhouse,Active,257.53,2008.0,4.0,3.0,0.0,Sturgis,North Dakota,57785.0,"663,000"
House,Active,130.99,2023.0,3.0,2.0,0.0,Spearfish,North Dakota,57783.0,"349,000"
House,Active,265.7,1975.0,3.0,2.0,0.0,Sturgis,North Dakota,57785.0,"1,500,000"
House,Active,169.36,1978.0,3.0,2.0,0.0,Park Rapids,North Dakota,56470.0,"389,900"
House,Active,244.15,1991.0,4.0,3.0,0.0,Parkers Prairie,North Dakota,56361.0,"479,000"
House,Pending,341.14,2003.0,4.0,4.0,0.0,Alexandria,North Dakota,56308.0,"957,500"
House,Active,246.66,2020.0,2.0,3.0,0.0,Spearfish,North Dakota,57783.0,"2,095,000"
House,Active,358.42,2015.0,6.0,4.0,0.0,Piedmont,North Dakota,57769.0,"725,000"
House,Active,79.15,1902.0,3.0,1.0,0.0,Alexandria,North Dakota,56308.0,"399,999"
House,Active,89.19,1926.0,2.0,1.0,0.0,Sebeka,North Dakota,56477.0,"74,900"
House,Pending,217.39,1989.0,3.0,2.0,0.0,Park Rapids,North Dakota,56470.0,"600,000"
House,Active,170.57,2018.0,3.0,2.0,0.0,Northern Twp,North Dakota,56601.0,"305,000"
House,Pending,163.79,1915.0,4.0,3.0,0.0,Hancock,North Dakota,56244.0,"169,000"
House,Active,400.6,1990.0,4.0,4.0,0.0,Sturgis,North Dakota,57785.0,"799,000"
House,Active,122.63,1940.0,3.0,2.0,0.0,Park Rapids,North Dakota,56470.0,"599,900"
House,Active,191.01,1984.0,3.0,2.0,0.0,Spearfish,North Dakota,57783.0,"575,000"
House,Pending,160.54,1997.0,3.0,2.0,0.0,Hancock,North Dakota,56244.0,"260,000"
House,Active,124.03,2014.0,3.0,2.0,0.0,De Smet,North Dakota,57231.0,"525,000"
House,Pending,128.58,1955.0,3.0,2.0,0.0,Hancock,North Dakota,56244.0,"249,000"
House,Active,142.88,2022.0,2.0,2.0,0.0,Bemidji,North Dakota,56601.0,"385,900"
House,Active,335.47,2023.0,5.0,4.0,1.5,Piedmont,North Dakota,57769.0,"1,299,000"
Townhouse,Active,118.92,2023.0,2.0,2.0,0.0,Bemidji,North Dakota,56601.0,"345,000"
Townhouse,Active,132.39,2021.0,2.0,2.0,0.0,Bemidji,North Dakota,56601.0,"319,500"
House,Active,118.92,2024.0,3.0,2.0,0.0,Spearfish,North Dakota,57783.0,"950,000"
House,Active,197.7,2002.0,4.0,2.0,0.0,Spearfish,North Dakota,57783.0,"525,000"
House,Active,349.32,2006.0,4.0,4.0,0.0,Alexandria,North Dakota,56308.0,"989,000"
House,Active,204.39,2003.0,3.0,2.0,0.0,Park Rapids,North Dakota,56470.0,"1,199,000"
House,Active,297.29,1998.0,5.0,5.0,1.0,Lake Preston,North Dakota,57249.0,"1,150,000"
House,Active,167.23,2024.0,3.0,2.0,0.0,,North Dakota,,"549,000"
Townhouse,Active,221.48,1995.0,2.0,2.0,0.0,Bemidji,North Dakota,56601.0,"299,000"
House,Active,141.4,2023.0,3.0,2.0,0.0,Spearfish,North Dakota,57783.0,"490,000"
House,Pending,186.18,2003.0,3.0,3.0,0.0,Park Rapids,North Dakota,56470.0,"825,000"
House,Active,135.64,2002.0,2.0,2.0,0.0,Wadena,North Dakota,56482.0,"289,900"
House,Active,265.7,2023.0,5.0,3.0,3.0,Spearfish,North Dakota,57783.0,"599,000"
House,Active,108.42,2023.0,2.0,2.0,0.0,Spearfish,North Dakota,57783.0,"407,000"
House,Active,295.8,2020.0,5.0,3.0,0.0,Spearfish,North Dakota,57783.0,"689,000"
House,Active,220.74,2010.0,4.0,3.0,0.0,Spearfish,North Dakota,57783.0,"524,000"
House,Active,249.35,2017.0,5.0,2.0,0.0,Spearfish,North Dakota,57783.0,"509,000"
House,Active,260.13,1996.0,3.0,2.0,0.0,Spearfish,North Dakota,57783.0,"699,000"
House,Pending,197.88,2014.0,4.0,3.0,0.0,Box Elder,North Dakota,57719.0,"365,000"
House,Active,197.88,2013.0,4.0,3.0,0.0,Box Elder,North Dakota,57719.0,"389,900"
House,Active,290.79,2004.0,5.0,3.0,0.0,Spearfish,North Dakota,57783.0,"599,900"
House,Pending,80.27,1930.0,2.0,1.0,0.0,Wadena,North Dakota,56482.0,"84,900"
House,Pending,85.84,1987.0,2.0,1.0,0.0,Menahga,North Dakota,56464.0,"149,900"
House,Pending,87.61,1995.0,3.0,1.0,0.0,Wadena,North Dakota,56482.0,"169,000"
House,Active,84.36,1940.0,2.0,1.0,0.0,Wadena,North Dakota,56482.0,"92,900"
House,Active,130.81,1998.0,3.0,2.0,0.0,Park Rapids,North Dakota,56470.0,"199,500"
House,Pending,179.49,1928.0,4.0,3.0,0.0,Wadena,North Dakota,56482.0,"199,000"
House,Pending,285.4,1994.0,3.0,3.0,0.0,Lowry,North Dakota,56349.0,"489,900"
House,Active,175.59,1972.0,4.0,2.0,0.0,Alexandria,North Dakota,56308.0,"339,900"
House,Active,208.75,1974.0,6.0,2.0,0.0,Deadwood,North Dakota,57732.0,"350,000"
House,Active,127.74,1999.0,2.0,2.0,0.0,Miltona,North Dakota,56354.0,"449,900"
House,Active,148.64,1999.0,2.0,2.0,0.0,Chamberlain,North Dakota,57325.0,"590,000"
House,Active,328.88,2009.0,6.0,4.0,2.0,Spearfish,North Dakota,57783.0,"899,900"
House,Active,300.63,2006.0,5.0,3.0,0.0,Rapid City,North Dakota,57701.0,"1,480,000"
House,Active,300.63,2006.0,5.0,3.0,0.0,Rapid City,North Dakota,57701.0,"1,480,000"
House,Active,70.23,1972.0,2.0,1.0,0.0,Spearfish,North Dakota,57783.0,"65,000"
House,Active,70.23,1972.0,2.0,1.0,0.0,Spearfish,North Dakota,57783.0,"65,000"
House,Active,341.14,2003.0,5.0,3.0,0.0,Spearfish,North Dakota,57783.0,"1,037,000"
House,Active,156.82,2024.0,3.0,1.0,0.0,Box Elder,North Dakota,57719.0,"309,900"
